title,price,link,unit_sold,rating_count,stars
Emotional Intelligence By Daniel Goleman,Rs. 399,https://www.daraz.com.np/products/emotional-intelligence-by-daniel-goleman-i115627108.html,91 sold,17,4
Combo Offer of 4 Self Help Books,Rs. 602,https://www.daraz.com.np/products/combo-offer-of-4-self-help-books-i127956909.html,475 sold,123,4
Combo Offer : Atomic Habits + Rich Dad Poor Dad,Rs. 350,https://www.daraz.com.np/products/combo-offer-atomic-habits-rich-dad-poor-dad-i216900935.html,48 sold,8,4
Ego is the Enemy By Ryan Holiday,Rs. 349,https://www.daraz.com.np/products/ego-is-the-enemy-by-ryan-holiday-i115646225.html,89 sold,11,4
Thinking Fast And Slow By Daniel Kahneman,Rs. 372,https://www.daraz.com.np/products/thinking-fast-and-slow-by-daniel-kahneman-i115585912.html,330 sold,59,4
Do It Today by Darius Foroux,Rs. 259,https://www.daraz.com.np/products/do-it-today-by-darius-foroux-i127815761.html,71 sold,12,4
Think Like a Monk by Jay Shetty,Rs. 327,https://www.daraz.com.np/products/think-like-a-monk-by-jay-shetty-i109832881.html,244 sold,59,4
Share Bata Karodpati - Rabindra Bhattarai,Rs. 420,https://www.daraz.com.np/products/share-bata-karodpati-rabindra-bhattarai-i105590391.html,214 sold,27,5
The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,Rs. 270,https://www.daraz.com.np/products/the-mountain-is-you-transforming-self-sabotage-into-self-mastery-i151980487.html,55 sold,5,4
Upayogi Bela Panchanga,Rs. 290,https://www.daraz.com.np/products/upayogi-bela-panchanga-i116658755.html,39 sold,7,4
How To Win Friends And Influence People By Dale Carnegie,Rs. 165,https://www.daraz.com.np/products/how-to-win-friends-and-influence-people-by-dale-carnegie-i143789789.html,41 sold,5,4
Surrounded by Idiots Book by Thomas Erikson,Rs. 370,https://www.daraz.com.np/products/surrounded-by-idiots-book-by-thomas-erikson-i128456745.html,30 sold,4,5
The Art Of Laziness By Library Mindset,Rs. 124,https://www.daraz.com.np/products/the-art-of-laziness-by-library-mindset-i296519799.html,21 sold,1,5
Courage to be Disliked Book By Ichiro Kishimi,Rs. 354,https://www.daraz.com.np/products/courage-to-be-disliked-book-by-ichiro-kishimi-i115776315.html,442 sold,89,4
Samaya Byawasthapan( Time Management - Samayako Uchit Sadupayog Garne 10 Siddhantha) By Dr.Sudhir Dixit,Rs. 59,https://www.daraz.com.np/products/samaya-byawasthapan-time-management-samayako-uchit-sadupayog-garne-10-siddhantha-by-drsudhir-dixit-i103646513.html,95 sold,14,4
How To Invest In Stock Market  By  Rabindra Bhattarai,Rs. 249,https://www.daraz.com.np/products/how-to-invest-in-stock-market-by-rabindra-bhattarai-i103366570.html,239 sold,55,4
Read People Like a Book By Patrick King,Rs. 375,https://www.daraz.com.np/products/read-people-like-a-book-by-patrick-king-i158398283.html,19 sold,3,3
